Role ID,Office Name,Sequence,Ordinal Number,Ordinal Text,Lineage ID,BDRC Lineage ID,Lineage Name,Wylie Lineage Name,Tibetan Lineage Name,Kinship Group ID,Place ID,Region ID,TOL P Member,start_date_century_id,start_date,start_date_approx,start_date_alternate,end_date,end_date_approx,end_date_alternate
1030,Artist,,,,,,,,,,,,2662,,,,,,,
1030,Artist,,,,,,,,,,,,3866,,,,,,,
1030,Artist,,,,,,,,,,,,4043,,,,,,,
1030,Artist,,,,,,,,,,,,5729,,,,,,,
1030,Artist,,,,,,,,,,,,6230,,,,,,,
1030,Artist,,,,,,,,,,,,7473,,,,,,,
1030,Artist,,,,,,,,,,,,8397,,,,,,,
1030,Artist,,,,,,,,,,,,10372,,,,,,,
1030,Artist,,,,,,,,,,,,10699,,,,,,,
1030,Artist,,,,,,,,,,,,13070,,,,,,,
1030,Artist,,,,,,,,,,,,13203,,,,,,,
1030,Artist,,,,,,,,,,,,13588,,,,,,,
1030,Artist,,,,,,,,,,,,13816,,,,,,,
1030,Artist,,,,,,,,,,,,13863,,,,,,,
1031,Translator,,,,,,,,,,,,84,,,,,,,
1031,Translator,,,,,,,,,,,,86,,,,,,,
1031,Translator,,,,,,,,,,,,96,,,,,,,
1031,Translator,,,,,,,,,,,,303,,,,,,,
1031,Translator,,,,,,,,,,,,1370,,,,,,,
1031,Translator,,,,,,,,,,,,1726,,,,,,,
1031,Translator,,,,,,,,,,,,1728,,,,,,,
1031,Translator,,,,,,,,,,,,2029,,,,,,,
1031,Translator,,,,,,,,,,,,2104,,,,,,,
1031,Translator,,,,,,,,,,,,2137,,,,,,,
1031,Translator,,,,,,,,,,,,2730,,,,,,,
1031,Translator,,,,,,,,,,,,2823,,,,,,,
1031,Translator,,,,,,,,,,,,2845,,,,,,,
1031,Translator,,,,,,,,,,,,2948,,,,,,,
1031,Translator,,,,,,,,,,,,2949,,,,,,,
1031,Translator,,,,,,,,,,,,3660,,,,,,,
1031,Translator,,,,,,,,,,,,3736,,,,,,,
1031,Translator,,,,,,,,,,,,3753,,,,,,,
1031,Translator,,,,,,,,,,,,3866,,,,,,,
1031,Translator,,,,,,,,,,,,3936,,,,,,,
1031,Translator,,,,,,,,,,,,4086,,,,,,,
1031,Translator,,,,,,,,,,,,4261,,,,,,,
1031,Translator,,,,,,,,,,,,4354,,,,,,,
1031,Translator,,,,,,,,,,,,4642,,,,,,,
1031,Translator,,,,,,,,,,,,5234,,,,,,,
1031,Translator,,,,,,,,,,,,5386,,,,,,,
1031,Translator,,,,,,,,,,,,5401,,,,,,,
1031,Translator,,,,,,,,,,,,5461,,,,,,,
1031,Translator,,,,,,,,,,,,5500,,,,,,,
1031,Translator,,,,,,,,,,,,5527,,,,,,,
1031,Translator,,,,,,,,,,,,5615,,,,,,,
1031,Translator,,,,,,,,,,,,5652,,,,,,,
1031,Translator,,,,,,,,,,,,5750,,,,,,,
1031,Translator,,,,,,,,,,,,5801,,,,,,,
1031,Translator,,,,,,,,,,,,5803,,,,,,,
1031,Translator,,,,,,,,,,,,6037,,,,,,,
1031,Translator,,,,,,,,,,,,6076,,,,,,,
1031,Translator,,,,,,,,,,,,6194,,,,,,,
1031,Translator,,,,,,,,,,,,6275,,,,,,,
1031,Translator,,,,,,,,,,,,6367,,,,,,,
1031,Translator,,,,,,,,,,,,6374,,,,,,,
1031,Translator,,,,,,,,,,,,6405,,,,,,,
1031,Translator,,,,,,,,,,,,6678,,,,,,,
1031,Translator,,,,,,,,,,,,6681,,,,,,,
